,title,subtitle,link
0,BLUE-TURN,Salah lined up shock Chelsea move before Liverpool agreed to smash pay structure,https://www.thesun.co.uk/sport/football/19073294/mo-salah-lined-up-chelsea-transfer-before-liverpool-contract/
1,POWER SERGE,Man Utd and Man City to scrap it out for shock £35m Serge Gnabry transfer,https://www.thesun.co.uk/sport/19073202/man-utd-man-city-serge-gnabry-transfer-arsenal/
2,MORGAN GRINDER,Palace boss Vieira taking on two Prem rivals in £20m Gibbs-White battle,https://www.thesun.co.uk/sport/19072638/crystal-palace-nottingham-forest-southampton-gibbs-white-transfer/
3,OUT OF NIC,Arsenal struggling to sell Pepe with Gunners set to accept LaLiga loan exit,https://www.thesun.co.uk/sport/football/19072658/arsenal-nicolas-pepe-loan-transfer-laliga/
4,CASH PRIZE,"Win £30,000 in cash from just 89p with exclusive Sun discount",https://www.thesun.co.uk/sport/betting-tips/18922011/win-cash-prize-30000-exclusive-discount/
5,THAT'S RICH,Richarlison trolls Arsenal on Insta as striker endears himself to Spurs fans,https://www.thesun.co.uk/sport/football/19073027/richarlison-tottenham-arsenal-instagram-post/
6,STEF ON IT,Inter Milan defender De Vrij ‘waiting for a call’ as Man Utd plot transfer swoop,https://www.thesun.co.uk/sport/19071751/inter-milan-stefan-de-vrij-man-utd-plot-transfer/
7,DEAN MACHINE,Man Utd's Dean Henderson signs season-long loan transfer to Nottingham Forest,https://www.thesun.co.uk/sport/football/19068890/dean-henderson-nottingham-forest-manchester-united/
8,RIP ANDY,Former Rangers keeper Andy Goram dies aged 58 after short battle with cancer,https://www.thesun.co.uk/sport/19069639/andy-goram-dead-rangers-man-utd/
9,FRENKIE SHOCK,Chelsea 'try to beat Man Utd to £60m De Jong with lure of Champions League',https://www.thesun.co.uk/sport/football/19071218/frenkie-de-jong-chelsea-hijack-man-utd-transfer-attempt/
10,DANCE RIVALS,Van Dijk & De Bruyne forget rivalry and party at Ibiza club with Calvin Harris,https://www.thesun.co.uk/sport/19072444/van-dijk-de-bruyne-calvin-harris-ibiza/
11,PHIL THOMAS,Leeds stumbling towards trouble as they sell top stars Raphinha and Phillips,https://www.thesun.co.uk/sport/football/19072542/leeds-face-relegation-raphinha-phillips-transfer-thomas-comment/
12,SWEET MENGO,Man Utd star Pereira breaks silence on Flamengo exit as Fulham plot £11m swoop,https://www.thesun.co.uk/sport/football/19071707/andreas-pereira-man-utd-fulham-flamengo-transfer-love/
13,RON TO WATCH,Man Utd fans are saying the same thing after Ronaldo tells club he wants move,https://www.thesun.co.uk/sport/football/19071217/man-utd-cristiano-ronaldo-transfer-fans/
14,SMASH AND GAB,Man Utd chase Gabriel Veron as winger valued at £10m from Palmeiras,https://www.thesun.co.uk/sport/football/19071337/man-utd-chase-gabriel-veron-from-palmeiras/
15,JONG ONE KNEE,Frenkie de Jong gets engaged to girlfriend Mikky Kiemeney on romantic holiday,https://www.thesun.co.uk/sport/19070017/frenkie-de-jong-engaged-mikky-kiemeney-holiday-mexico/
16,NEW BLUE,Everton confirm free transfer arrival of James Tarkowski from Burnley,https://www.thesun.co.uk/sport/19070096/everton-free-transfer-james-tarkowski-burnley/
